scenario_id,retrofit,hp_type,climate_zone,hdd,envelope_class,price_scenario,npv,annual_savings,payback_years,baseline_gas_therms,hp_electricity_kwh,baseline_emissions_kg,hp_emissions_kg,emissions_reduction_kg,total_investment,viability_score,is_viable
164,insulation_walls,standard,Mild,3000,Poor,high,-20000.48885698242,-0.04709760000000007,999.0,0.42240000000000005,3.0940800000000004,2.2387200000000003,1.19431488,1.0444051200000002,20000,0.18934999999999996,False
165,insulation_walls,standard,Mild,3000,Medium,low,-19999.472002572675,0.05086847999999994,393170.7808057175,0.3744,3.1081440000000007,1.98432,1.1997435840000004,0.7845764159999997,20000,0.6672333333333332,True
166,insulation_walls,standard,Mild,3000,Medium,base,-20000.241847693032,-0.023300160000000125,999.0,0.3744,3.1081440000000007,1.98432,1.1997435840000004,0.7845764159999997,20000,0.4413271904761904,False
167,insulation_walls,standard,Mild,3000,Medium,high,-20001.26830785351,-0.12219168000000014,999.0,0.3744,3.1081440000000007,1.98432,1.1997435840000004,0.7845764159999997,20000,0.14011899999999997,False
168,insulation_walls,standard,Mild,3000,Good,low,-19999.72499120939,0.026494976000000003,754860.0912112545,0.3264,2.9328128,1.7299200000000001,1.1320657408,0.5978542592,20000,0.44181666666666664,False
169,insulation_walls,standard,Mild,3000,Good,base,-20000.535110731533,-0.05155379199999999,999.0,0.3264,2.9328128,1.7299200000000001,1.1320657408,0.5978542592,20000,0.2922301666666666,False
170,insulation_walls,standard,Mild,3000,Good,high,-20001.615270094386,-0.15561881600000005,999.0,0.3264,2.9328128,1.7299200000000001,1.1320657408,0.5978542592,20000,0.09278149999999998,False
171,insulation_walls,standard,Moderate,5000,Poor,low,-19998.045302798255,0.18832000000000004,106202.2090059473,0.88,6.446000000000001,4.664,2.4881560000000005,2.1758439999999992,20000,0.7050000000000001,True
172,insulation_walls,standard,Moderate,5000,Poor,base,-19999.319509619014,0.06555999999999995,305064.0634533254,0.88,6.446000000000001,4.664,2.4881560000000005,2.1758439999999992,20000,0.46630714285714286,False
173,insulation_walls,standard,Moderate,5000,Poor,high,-20001.0184520467,-0.09811999999999999,999.0,0.88,6.446000000000001,4.664,2.4881560000000005,2.1758439999999992,20000,0.14805,False
174,insulation_walls,standard,Moderate,5000,Medium,low,-19998.90000535974,0.10597600000000007,188721.97478674405,0.78,6.475300000000001,4.134,2.4994658000000003,1.6345342,20000,0.5217,True
175,insulation_walls,standard,Moderate,5000,Medium,base,-20000.503849360495,-0.048542000000000085,999.0,0.78,6.475300000000001,4.134,2.4994658000000003,1.6345342,20000,0.34506728571428574,False
176,insulation_walls,standard,Moderate,5000,Medium,high,-20002.642308028142,-0.2545660000000003,999.0,0.78,6.475300000000001,4.134,2.4994658000000003,1.6345342,20000,0.10955699999999999,False
177,insulation_walls,standard,Moderate,5000,Good,low,-19999.42706501956,0.05519786666666665,362332.8437814023,0.68,6.110026666666667,3.604,2.3584702933333337,1.2455297066666664,20000,0.34545000000000003,False
178,insulation_walls,standard,Moderate,5000,Good,base,-20001.114814024022,-0.10740373333333342,999.0,0.68,6.110026666666667,3.604,2.3584702933333337,1.2455297066666664,20000,0.2284905,False
179,insulation_walls,standard,Moderate,5000,Good,high,-20003.365146029977,-0.32420586666666673,999.0,0.68,6.110026666666667,3.604,2.3584702933333337,1.2455297066666664,20000,0.0725445,False
180,insulation_walls,standard,Cold,7000,Poor,low,-19998.302991852117,0.16349364705882352,122328.91222252925,1.4784,12.740329411764707,7.83552,4.917767152941177,2.917752847058823,20000,0.5083333333333333,True
181,insulation_walls,standard,Cold,7000,Poor,base,-20001.633821674295,-0.15740611764705892,999.0,1.4784,12.740329411764707,7.83552,4.917767152941177,2.917752847058823,20000,0.3362261904761904,False
182,insulation_walls,standard,Cold,7000,Poor,high,-20006.074928103862,-0.5852724705882353,999.0,1.4784,12.740329411764707,7.83552,4.917767152941177,2.917752847058823,20000,0.10674999999999997,False
183,insulation_walls,standard,Cold,7000,Medium,low,-19999.74610526067,0.02446079999999995,817634.7462061765,1.3103999999999998,12.798239999999998,6.945119999999998,4.940120639999999,2.0049993599999993,20000,0.37616666666666665,False
184,insulation_walls,standard,Cold,7000,Medium,base,-20003.636135374127,-0.3503136,999.0,1.3103999999999998,12.798239999999998,6.945119999999998,4.940120639999999,2.0049993599999993,20000,0.2488073809523809,False
185,insulation_walls,standard,Cold,7000,Medium,high,-20008.822842192076,-0.8500128,999.0,1.3103999999999998,12.798239999999998,6.945119999999998,4.940120639999999,2.0049993599999993,20000,0.07899499999999998,False
186,insulation_walls,standard,Cold,7000,Good,low,-20000.541642110595,-0.05218304000000018,999.0,1.1424,12.076288000000003,6.0547200000000005,4.661447168000001,1.3932728319999992,20000,0.24908333333333332,False
187,insulation_walls,standard,Cold,7000,Good,base,-20004.505190096374,-0.4340403200000005,999.0,1.1424,12.076288000000003,6.0547200000000005,4.661447168000001,1.3932728319999992,20000,0.1647508333333333,False
188,insulation_walls,standard,Cold,7000,Good,high,-20009.789920744104,-0.9431833600000008,999.0,1.1424,12.076288000000003,6.0547200000000005,4.661447168000001,1.3932728319999992,20000,0.052307499999999986,False
189,insulation_walls,cold_climate,Mild,3000,Poor,low,-22999.24526244226,0.07271314285714287,316311.45479693194,0.42240000000000005,3.315085714285715,2.2387200000000003,1.279623085714286,0.9590969142857142,23000,0.9016666666666666,True
190,insulation_walls,cold_climate,Mild,3000,Poor,base,-22999.994519540553,0.0005279999999999729,43560606.06060829,0.42240000000000005,3.315085714285715,2.2387200000000003,1.279623085714286,0.9590969142857142,23000,0.5963880952380951,True
191,insulation_walls,cold_climate,Mild,3000,Poor,high,-23000.993529004947,-0.09571885714285722,999.0,0.42240000000000005,3.315085714285715,2.2387200000000003,1.279623085714286,0.9590969142857142,23000,0.18934999999999996,False
