HDD65,log_sqft,building_age,envelope_score,hdd_sqft,age_hdd,sqft_per_hdd,hdd_squared,envelope_class_encoded,climate_zone_encoded,TYPEHUQ,ADQINSUL,DRAFTY
4353,6.927557906278317,80,7.0,4.44006,34.824,0.2343211578221916,1.8948609,1,2,4,2,4
5067,6.551080335043404,55,5.0,3.5469,27.8685,0.1381488059996053,2.5674489,2,2,5,4,3
1138,7.22983877815125,15,12.0,1.57044,1.707,1.2126537785588751,0.1295044,0,1,3,2,3
5508,6.620073206530356,80,7.0,4.131,44.064,0.13616557734204793,3.0338064,1,2,5,2,3
3140,5.135798437050262,25,11.0,0.5338,7.85,0.054140127388535034,0.98596,0,2,2,1,4
6031,5.768320995793772,80,3.0,1.92992,48.248,0.05305919416348864,3.6372961,2,0,4,3,2
7096,7.783224016336037,25,12.0,17.0304,17.74,0.3382187147688839,5.0353216,0,0,2,2,3
6165,7.930206206684683,15,11.0,17.1387,9.2475,0.45093268450932683,3.8007225,0,0,2,1,4
6702,6.709304340258298,65,10.0,5.49564,43.563,0.12235153685467025,4.4916804,1,0,2,2,3
2585,6.956545443151569,65,8.0,2.71425,16.8025,0.40618955512572535,0.6682225,1,1,2,2,3
5528,8.070906088787819,15,12.0,17.6896,8.292,0.5788712011577424,3.0558784,0,2,2,2,3
7055,7.047517221357296,15,12.0,8.11325,10.5825,0.1630049610205528,4.9773025,0,0,3,2,3
2858,6.396929655216146,65,6.0,1.7148,18.577,0.2099370188943317,0.8168164,1,1,2,3,2
3559,6.551080335043404,35,10.0,2.4913,12.4565,0.19668446192750771,1.2666481,1,2,2,1,4
6669,5.075173815233827,55,10.0,1.06704,36.6795,0.02399160293897136,4.4475561,1,0,2,2,4
1328,7.937374696163295,15,13.0,3.7184,1.992,2.108433734939759,0.1763584,0,1,2,1,3
1182,7.313220387090301,80,5.0,1.773,9.456,1.2690355329949239,0.1397124,2,1,2,3,3
3785,7.783224016336037,25,12.0,9.084,9.4625,0.6340819022457067,1.4326225,0,2,2,2,3
4864,7.718685495198466,45,11.0,10.944,21.888,0.46258223684210525,2.3658496,0,2,2,2,3
3211,7.24422751560335,65,8.0,4.4954,20.8715,0.43600124571784493,1.0310521,1,2,3,2,4
3780,7.4673710669175595,25,12.0,6.615,9.45,0.46296296296296297,1.42884,0,2,3,2,3
4249,8.177515823846075,25,13.0,15.12644,10.6225,0.837844198634973,1.8054001,0,2,2,1,3
5403,5.135798437050262,55,6.0,0.91851,29.7165,0.03146400148065889,2.9192409,1,2,1,2,2
7785,7.495541943884256,80,7.0,14.013,62.28,0.23121387283236994,6.0606225,1,0,2,2,3
3194,4.605170185988092,55,8.0,0.0,17.567,0.0,1.0201636,1,2,2,2,2
1770,8.101677747454572,15,10.0,5.841,2.655,1.8644067796610169,0.31329,1,1,2,2,4
2944,7.098375638590786,25,9.0,3.56224,7.36,0.4110054347826087,0.8667136,1,1,3,1,4
3182,6.84587987526405,15,11.0,2.99108,4.773,0.295411690760528,1.0125124,0,2,2,1,4
1791,7.003065458786462,45,6.0,1.9701,8.0595,0.6141820212171971,0.3207681,1,1,1,4,4
8242,7.549609165154532,7,12.0,15.6598,5.7694,0.23052657122057754,6.7930564,0,0,2,1,4
6013,7.426549072397305,15,10.0,10.10184,9.0195,0.27939464493597205,3.6156169,1,0,3,2,4
4990,6.956545443151569,55,10.0,5.2395,27.445,0.21042084168336672,2.49001,1,2,2,2,3
5065,7.24422751560335,15,10.0,7.091,7.5975,0.2764067127344521,2.5654225,1,2,2,2,4
3808,6.327936783729195,80,6.0,2.13248,30.464,0.14705882352941177,1.4500864,1,2,5,1,4
4909,4.605170185988092,80,7.0,0.0,39.272,0.0,2.4098281,1,2,2,2,4
4280,7.506591780070841,55,7.0,7.7896,23.54,0.4252336448598131,1.83184,1,2,2,1,4
6524,7.982757702011113,15,11.0,19.11532,9.786,0.4491109748620478,4.2562576,0,0,2,1,4
7333,7.003065458786462,80,8.0,8.0663,58.664,0.15000681849174963,5.3772889,1,0,2,1,4
4978,7.047517221357296,65,10.0,5.7247,32.357,0.2310164724789072,2.4780484,1,2,2,2,4
7152,5.135798437050262,80,7.0,1.21584,57.216,0.02376957494407159,5.1151104,1,0,4,2,3
7067,4.605170185988092,15,12.0,0.0,10.6005,0.0,4.9942489,0,0,2,2,3
3890,7.696212639346407,15,9.0,8.558,5.835,0.5655526992287918,1.51321,1,2,2,1,4
4319,7.090076835776092,25,10.0,5.1828,10.7975,0.27784209307710117,1.8653761,1,2,2,2,2
7296,7.600902459542082,7,13.0,14.592,5.1072,0.2741228070175439,5.3231616,0,0,5,2,3
4848,7.455876687491824,7,13.0,8.38704,3.3936,0.35684818481848185,2.3503104,0,2,3,2,3
2953,7.9724660159745655,65,8.0,8.5637,19.1945,0.9820521503555706,0.8720209,1,1,2,3,3
5459,6.907755278982137,80,10.0,5.459,43.672,0.18318373328448434,2.9800681,1,2,4,1,3
4317,6.272877006546167,80,8.0,2.28801,34.536,0.12277044243687746,1.8636489,1,2,4,1,4
2236,7.286191714702382,35,9.0,3.26456,7.826,0.6529516994633273,0.4999696,1,1,2,2,4
5543,7.874739125171811,80,8.0,14.57809,44.344,0.4744723074147574,3.0724849,1,2,2,1,4
5038,7.003065458786462,55,6.0,5.5418,27.709,0.2183406113537118,2.5381444,1,2,4,2,4
5625,7.649692623711514,35,12.0,11.8125,19.6875,0.37333333333333335,3.1640625,0,2,2,1,3
4200,5.91350300563827,80,6.0,1.554,33.6,0.0880952380952381,1.764,1,2,5,4,3
